table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,
"Annual Estimates of the Resident Population for Counties in Colorado: April 1, 2010 to July 1, 2019",,,,,,,,,,,,
Geographic Area,"April 1, 2010",,Population Estimate (as of July 1),,,,,,,,,
,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
".Phillips County, Colorado","4,442","4,442","4,469","4,401","4,417","4,383","4,392","4,327","4,280","4,288","4,285","4,265"
".Pitkin County, Colorado","17,148","17,144","17,154","17,169","17,292","17,460","17,712","17,940","17,975","17,973","17,976","17,767"
".Prowers County, Colorado","12,551","12,551","12,545","12,502","12,421","12,317","12,062","11,936","11,926","11,998","12,079","12,172"
".Pueblo County, Colorado","159,063","159,063","159,390","160,184","160,721","161,033","161,356","163,006","164,774","166,283","167,422","168,424"
".Rio Blanco County, Colorado","6,666","6,673","6,623","6,747","6,758","6,693","6,595","6,478","6,436","6,352","6,330","6,324"
".Rio Grande County, Colorado","11,982","11,982","12,023","11,913","11,866","11,676","11,504","11,352","11,337","11,297","11,271","11,267"
".Routt County, Colorado","23,509","23,506","23,434","23,252","23,272","23,599","24,067","24,360","24,682","25,171","25,507","25,638"
".Saguache County, Colorado","6,108","6,108","6,136","6,188","6,333","6,242","6,198","6,253","6,412","6,633","6,840","6,824"
".San Juan County, Colorado",699,699,708,690,692,692,712,689,691,712,764,728
".San Miguel County, Colorado","7,359","7,359","7,357","7,487","7,581","7,621","7,738","7,836","8,017","8,034","8,180","8,179"
".Sedgwick County, Colorado","2,379","2,382","2,371","2,372","2,378","2,340","2,334","2,373","2,400","2,311","2,276","2,248"
".Summit County, Colorado","27,994","27,994","28,073","28,042","28,298","28,728","29,317","30,045","30,552","30,820","30,817","31,011"
".Teller County, Colorado","23,350","23,359","23,469","23,369","23,445","23,356","23,433","23,388","24,058","24,674","25,113","25,388"
".Washington County, Colorado","4,814","4,812","4,821","4,762","4,701","4,743","4,733","4,786","4,834","4,921","4,888","4,908"
".Weld County, Colorado","252,825","252,827","254,207","258,827","264,131","270,165","277,112","285,819","295,712","305,885","314,815","324,492"
".Yuma County, Colorado","10,043","10,043","10,049","10,134","10,100","10,132","10,184","10,037","10,055","9,959","9,947","10,019"
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. All geographic boundaries for the 2019 population estimates are as of January 1, 2019. For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html.",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Counties in Colorado: April 1, 2010 to July 1, 2019 (CO-EST2019-ANNRES-08)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: March 2020,,,,,,,,,,,,
